index,x,y,z,vx,vy,vz
84,38.7386,23.3104,42.0002,1.1791,-0.782578,3.63e-05
85,38.723,23.327,42.0002,1.19556,-0.794133,3.74e-05
86,38.7075,23.352,42.0002,1.21159,-0.80543,3.86e-05
87,38.6908,23.3769,42.0002,1.22717,-0.81646,3.97e-05
88,38.6742,23.4019,42.0002,1.24229,-0.827215,4.08e-05
89,38.6575,23.4268,42.0002,1.25694,-0.837687,4.2e-05
90,38.6408,23.4518,42.0002,1.2711,-0.847868,4.32e-05
91,38.6242,23.4767,42.0002,1.28477,-0.857752,4.43e-05
92,38.6075,23.5017,42.0002,1.29793,-0.86733,4.55e-05
93,38.5897,23.5349,42.0002,1.31058,-0.876597,4.67e-05
94,38.572,23.5599,42.0002,1.32271,-0.885546,4.8e-05
95,38.5542,23.5848,42.0002,1.3343,-0.894172,4.92e-05
96,38.5364,23.6098,42.0002,1.34535,-0.902468,5.04e-05
97,38.5187,23.6347,42.0002,1.35585,-0.910431,5.17e-05
98,38.4998,23.668,42.0002,1.3658,-0.918054,5.29e-05
99,38.482,23.6929,42.0002,1.37518,-0.925334,5.42e-05
100,38.4631,23.7179,42.0002,1.384,-0.932267,5.55e-05
101,38.4442,23.7428,42.0002,1.39225,-0.938849,5.68e-05
102,38.4265,23.7761,42.0002,1.39991,-0.945077,5.81e-05
103,38.4076,23.8011,42.0002,1.407,-0.950948,5.93e-05
104,38.3876,23.8343,42.0002,1.4135,-0.956459,6.07e-05
105,38.3687,23.8593,42.0002,1.41942,-0.961609,6.2e-05
106,38.3498,23.8842,42.0002,1.42474,-0.966396,6.33e-05
107,38.331,23.9175,42.0002,1.42948,-0.970818,6.46e-05
108,38.311,23.9424,42.0002,1.43363,-0.974875,6.59e-05
109,38.2921,23.9757,42.0002,1.43718,-0.978566,6.72e-05
110,38.2721,24.0006,42.0002,1.44015,-0.981891,6.86e-05
111,38.2521,24.0339,42.0002,1.44252,-0.984851,6.99e-05
112,38.2332,24.0589,42.0002,1.44431,-0.987444,7.12e-05
113,38.2132,24.0838,42.0002,1.44551,-0.989674,7.26e-05
114,38.1932,24.1171,42.0002,1.44613,-0.991541,7.39e-05
115,38.1732,24.142,42.0002,1.44617,-0.993046,7.52e-05
116,38.1544,24.1753,42.0002,1.44564,-0.994192,7.65e-05
117,38.1344,24.2002,42.0002,1.44454,-0.994981,7.79e-05
118,38.1144,24.2335,42.0002,1.44287,-0.995417,7.92e-05
119,38.0944,24.2584,42.0002,1.44064,-0.995501,8.05e-05
120,38.0744,24.2917,42.0002,1.43786,-0.995237,8.18e-05
121,38.0544,24.3167,42.0002,1.43453,-0.99463,8.32e-05
122,38.0344,24.3499,42.0002,1.43066,-0.993683,8.45e-05
123,38.0155,24.3749,42.0002,1.42626,-0.992401,8.58e-05
124,37.9955,24.3998,42.0001,1.42134,-0.990788,8.71e-05
125,37.9755,24.4331,42.0001,1.4159,-0.988849,8.84e-05
126,37.9555,24.458,42.0001,1.40996,-0.98659,8.96e-05
127,37.9367,24.4913,42.0001,1.40352,-0.984016,9.09e-05
128,37.9167,24.5162,42.0001,1.39659,-0.981133,9.22e-05
129,37.8978,24.5412,42.0001,1.38919,-0.977948,9.35e-05
130,37.8778,24.5745,42.0001,1.38133,-0.974466,9.47e-05
131,37.8589,24.5994,42.0001,1.37301,-0.970694,9.59e-05
132,37.8389,24.6244,42.0001,1.36425,-0.966639,9.72e-05
133,37.82,24.6493,42.0001,1.35506,-0.962308,9.84e-05
134,37.8012,24.6826,42.0001,1.34545,-0.957704,9.96e-05
135,37.7812,24.7075,42.0001,1.33543,-0.952838,0.000100768
136,37.7623,24.7325,42.0001,1.32501,-0.947718,0.000101943
137,37.7434,24.7574,42.0001,1.31422,-0.942351,0.000103103
138,37.7256,24.7824,42.0001,1.30306,-0.936747,0.000104247
139,37.7067,24.8073,42.0001,1.29155,-0.930912,0.000105376
140,37.6879,24.8406,42.0001,1.2797,-0.924855,0.000106488
141,37.6701,24.8655,42.0001,1.26753,-0.918585,0.000107582
142,37.6512,24.8905,42.0001,1.25504,-0.91211,0.000108659
143,37.6334,24.9154,42.0001,1.24226,-0.905438,0.000109718
144,37.6157,24.9404,42.0001,1.2292,-0.898579,0.000110757
145,37.5979,24.9653,42.0001,1.21587,-0.891541,0.000111777
146,37.5801,24.9819,42.0001,1.20229,-0.884334,0.000112776
147,37.5624,25.0069,42.0001,1.18847,-0.876964,0.000113754
148,37.5446,25.0318,42.0001,1.17442,-0.869443,0.000114712
149,37.5279,25.0568,42.0001,1.16017,-0.861779,0.000115647
150,37.5102,25.0817,42.0001,1.14573,-0.853981,0.00011656
151,37.4935,25.0984,42.0001,1.1311,-0.846057,0.000117449
