index,x,y,z,vx,vy,vz
279,23.4787,19.7928,42.0001,-2.21853,-3,-4.77e-05
280,23.4187,19.7429,42.0001,-2.21641,-3,-4.77e-05
281,23.3588,19.7013,42.0001,-2.21468,-3,-4.77e-05
282,23.2988,19.6597,42.0001,-2.21329,-3,-4.77e-05
283,23.2388,19.6098,42.0001,-2.21229,-3,-4.77e-05
284,23.1788,19.5682,42.0001,-2.21161,-3,-4.77e-05
285,23.1188,19.5266,42.0001,-2.21125,-3,-4.77e-05
286,23.0589,19.4768,42.0001,-2.21118,-3,-4.77e-05
287,22.9989,19.4352,42.0001,-2.21137,-3,-4.77e-05
288,22.9389,19.3936,42.0001,-2.21188,-3,-4.77e-05
289,22.8789,19.3437,42.0001,-2.21263,-3,-4.77e-05
290,22.819,19.3021,42.0001,-2.21365,-3,-4.77e-05
291,22.759,19.2605,42.0001,-2.21491,-3,-4.77e-05
292,22.699,19.2106,42.0001,-2.21641,-3,-4.77e-05
293,22.639,19.1691,42.0001,-2.21818,-3,-4.17e-05
294,22.5779,19.1275,42.0001,-2.22014,-3,-4.17e-05
295,22.518,19.0776,42.0001,-2.22226,-3,-4.17e-05
296,22.458,19.036,42.0001,-2.22452,-3,-3.82e-05
297,22.398,18.9944,42.0001,-2.22695,-3,-3.93e-05
298,22.338,18.9445,42.0001,-2.22956,-3,-3.13e-05
299,22.278,18.9029,42.0001,-2.23232,-3,-3.43e-05
300,22.2181,18.8614,42.0001,-2.23511,-3,-3.04e-05
301,22.1581,18.8115,42.0001,-2.23798,-3,-2.94e-05
302,22.0981,18.7699,42.0001,-2.24096,-3,-2.95e-05
303,22.0381,18.72,42.0001,-2.24405,-3,-2.38e-05
304,21.9782,18.6784,42.0001,-2.24718,-3,-2.35e-05
305,21.9182,18.6368,42.0001,-2.25038,-3,-1.83e-05
306,21.8582,18.5869,42.0001,-2.2535,-3,-1.19e-05
307,21.7982,18.5454,42.0001,-2.25664,-3,-1.19e-05
308,21.7382,18.4955,42.0001,-2.25976,-3,-1.19e-05
309,21.6783,18.4539,42.0001,-2.26286,-3,-1.17e-05
310,21.6183,18.404,42.0001,-2.26586,-3,-6.15e-06
311,21.5583,18.3624,42.0001,-2.26884,-3,0
312,21.4983,18.3208,42.0001,-2.27173,-3,-5.96e-06
313,21.4384,18.2709,42.0001,-2.27462,-3,5.96e-06
314,21.3784,18.2293,42.0001,-2.27741,-3,0
315,21.3184,18.1794,42.0001,-2.27998,-3,5.96e-06
316,21.2584,18.1379,42.0001,-2.28243,-3,1.19e-05
317,21.1984,18.088,42.0001,-2.28467,-3,5.96e-06
318,21.1385,18.0464,42.0001,-2.28677,-3,1.19e-05
319,21.0785,17.9965,42.0001,-2.2887,-3,1.19e-05
320,21.0185,17.9549,42.0001,-2.29045,-3,1.79e-05
321,20.9585,17.905,42.0001,-2.292,-3,1.79e-05
322,20.8986,17.8634,42.0001,-2.29342,-3,1.19e-05
323,20.8386,17.8135,42.0001,-2.29462,-3,1.79e-05
324,20.7786,17.772,42.0001,-2.29566,-3,1.79e-05
325,20.7186,17.7221,42.0001,-2.29656,-3,2.18e-05
326,20.6586,17.6722,42.0001,-2.29736,-3,1.99e-05
327,20.5987,17.6306,42.0001,-2.29798,-3,1.79e-05
328,20.5387,17.5807,42.0001,-2.29854,-3,1.79e-05
329,20.4787,17.5391,42.0001,-2.2991,-3,1.91e-05
330,20.4187,17.4892,42.0001,-2.29994,-3,2.26e-05
331,20.3588,17.4476,42.0001,-2.30097,-3,1.79e-05
332,20.2988,17.3977,42.0001,-2.30217,-3,2.22e-05
333,20.2388,17.3562,42.0001,-2.30354,-3,1.95e-05
334,20.1788,17.3063,42.0001,-2.30463,-3,2.38e-05
335,20.1188,17.2647,42.0001,-2.30447,-3,2.38e-05
336,20.0589,17.2148,42.0001,-2.30295,-3,2.23e-05
337,19.9989,17.1732,42,-2.3004,-3,1.95e-05
338,19.9389,17.1233,42,-2.29666,-3,2.38e-05
339,19.8789,17.0817,42,-2.29237,-3,2.38e-05
340,19.819,17.0318,42,-2.28928,-3,2.98e-05
341,19.759,16.9903,42,-2.28811,-3,2.38e-05
342,19.699,16.9404,42,-2.28824,-3,3.58e-05
343,19.639,16.8988,42,-2.28972,-3,3.58e-05
344,19.5779,16.8489,42,-2.29233,-3,2.38e-05
345,19.518,16.8073,42,-2.29435,-3,-1.19e-05
346,19.458,16.7574,42,-2.2944,-3,0
347,19.398,16.7075,42,-2.29317,-3,-1.19e-05
348,19.338,16.6659,42,-2.29073,-3,-3.58e-05
349,19.278,16.616,42,-2.2879,-3,-1.19e-05
350,19.2181,16.5744,42,-2.28599,-3,0
351,19.1581,16.5246,42,-2.28532,-3,3.58e-05
352,19.0981,16.483,42,-2.28528,-3,5.96e-05
353,19.0381,16.4331,42,-2.28624,-3,5.96e-05
354,18.9782,16.3915,42,-2.28755,-3,-6.13e-05
355,18.9182,16.3416,42,-2.2877,-3,-0.000130989
356,18.8582,16.3,42,-2.2865,-3,-0.000105751
357,18.7982,16.2584,42,-2.28447,-3,-4.94e-05
358,18.7382,16.2085,42,-2.2814,-3,1.71e-06
359,18.6783,16.167,42,-2.27734,-3,4.17e-05
360,18.6183,16.1171,42,-2.27229,-3,7.58e-05
361,18.5583,16.0755,42,-2.26632,-3,0.000108966
362,18.4983,16.0256,42,-2.25957,-3,0.000119209
363,18.4384,15.984,42,-2.2523,-3,0.000107288
364,18.3784,15.9341,42,-2.24527,-3,4.77e-05
